text,label
Amanecí de excelente humor,alegria
Se cancelaron mis planes,tristeza
No puedo creer lo que vi,sorpresa
Voy a organizar mis archivos,neutral
Me sacaron de quicio con sus bromas,enojo
Tengo pendiente lavar la ropa,neutral
Siento ansiedad antes de la presentación,miedo
Me impresionó su talento,sorpresa
Jamás imaginé ese resultado,sorpresa
"Basta ya, estoy cansado de lo mismo",enojo
No tuve fuerzas para entrenar,tristeza
Voy a estudiar dos horas,neutral
"¡Wow, eso sí que no me lo esperaba!",sorpresa
Echo de menos a mis amigos,tristeza
Hoy nada salió bien,tristeza
"Hoy fue un gran día, estoy muy feliz",alegria
Fue una sorpresa total,sorpresa
Me enoja que no avisen a tiempo,enojo
Estoy que reviento,enojo
Temo que algo salga mal,miedo
Me asombró lo rápido que pasó,sorpresa
"Qué rabia, rompieron mi trabajo",enojo
Fue un día muy gris,tristeza
Me encanta cómo salió el proyecto,alegria
Me conecto a la reunión,neutral
Estoy muy molesto con el servicio,enojo
Estoy irritado por el tráfico,enojo
Siento que fallé en el examen,tristeza
Estoy revisando correos,neutral
Me quedé helado al verlo,sorpresa
Me dieron buenas noticias en el trabajo,alegria
Estoy orgulloso de mis avances,alegria
Me siento motivado y con energía,alegria
No quiero arriesgarme,miedo
No soporto más esa situación,enojo
Me fastidia repetir lo mismo,enojo
Mañana toca entrenar,neutral
Qué emoción ver a mis amigos,alegria
No lo esperaba para nada,sorpresa
Voy a descansar un rato,neutral
Se actualizó la app,neutral
De repente apareció mi amigo,sorpresa
Me dejaron impactado con la noticia,sorpresa
Perdí la motivación para estudiar,tristeza
Hice una lista de compras,neutral
Estoy indignado por el trato,enojo
Me da cosa enviar ese mensaje,miedo
Disfruté la clase de hoy,alegria
Celebramos en familia y fue hermoso,alegria
Me siento desanimado y sin ganas,tristeza
Me da pánico fallar,miedo
Qué coraje que no cumplan,enojo
Tengo clase a las cuatro,neutral
Fue una coincidencia increíble,sorpresa
No pude dormir y me siento mal,tristeza
Abrí el programa y funcionó,neutral
No pude concentrarme,tristeza
Me aterra no cumplir la fecha,miedo
Me dio miedo caminar solo,miedo
El clima está templado,neutral
Me molesta su actitud,enojo
Todo me pesa hoy,tristeza
Me preocupa no lograrlo,miedo
Estoy triste por la noticia,tristeza
Me llamaron para una entrevista,alegria
Me sentí solo en la reunión,tristeza
Hay tráfico en la avenida,neutral
No sé qué va a pasar y me asusta,miedo
Estoy intranquilo desde ayer,miedo
Fue inesperado pero bonito,sorpresa
Me asustó el ruido en la noche,miedo
Estoy harto de que no respeten mi tiempo,enojo
Me duele el corazón,tristeza
¡Qué giro inesperado!,sorpresa
Me pone tenso hablar en público,miedo
Me dejó atónito el resultado,sorpresa
Estoy alterado por el problema,enojo
Dormí bien y amanecí contento,alegria
Me inquieta la situación financiera,miedo
"Aprobé el examen, ¡qué alegría!",alegria
¡Qué sorpresa tan agradable!,sorpresa
No encuentro consuelo,tristeza
El equipo logró la meta,alegria
Estoy con los nervios de punta,miedo
Comí arroz con pollo,neutral
No pude dormir del susto,miedo
Estoy nervioso por el examen,miedo
Me cuesta levantarme de la cama,tristeza
Quisiera llorar todo el día,tristeza
Estoy agradecido por todo,alegria
Me sorprendió su respuesta,sorpresa
Terminé el reporte,neutral
La comida estuvo deliciosa,alegria
Me quedé con la boca abierta,sorpresa
La música me puso de buen humor,alegria
Me tomó por sorpresa el anuncio,sorpresa
Tengo miedo de equivocarme,miedo
Esto es una injusticia total,enojo
"Increíble, no lo anticipé",sorpresa
Nunca vi algo así,sorpresa
Siento un vacío en el pecho,tristeza
Sonreí todo el camino a casa,alegria
Terminamos el juego y ganamos,alegria
Esa decisión fue absurda,enojo
Hoy hice mis tareas normales,neutral
Mi mascota me recibió con cariño,alegria
No es justo lo que hicieron,enojo
Voy a la tienda más tarde,neutral
Voy a tomar agua,neutral
Siento inseguridad con el proyecto,miedo
Me hicieron perder el día,enojo
Estoy furioso por el error,enojo
Estoy esperando el camión,neutral
"Qué bonito detalle, me hizo el día",alegria
Tengo temor de salir tarde,miedo
Prendí la computadora,neutral
Me enoja que hablen sin saber,enojo
Extraño mucho a mi familia,tristeza
Estoy preocupado por mi salud,miedo
Estoy nostálgico por el pasado,tristeza
